step,loss,accuracy
1,10.380926370620728,0.0
2,10.331242084503174,0.00028483072916666663
3,10.3345046043396,4.0690104166666664e-05
4,10.315908670425415,0.00016276041666666666
5,10.342571258544922,0.0
6,10.318845987319946,4.0690104166666664e-05
7,10.275781154632568,4.0690104166666664e-05
8,10.300745964050293,0.0001220703125
9,10.222960710525513,0.0001220703125
10,10.209502220153809,0.0
11,10.1734619140625,8.138020833333333e-05
12,10.137043714523315,4.0690104166666664e-05
13,10.129244089126587,4.0690104166666664e-05
14,10.031010866165161,4.0690104166666664e-05
15,10.005778551101685,0.0003662109375
16,9.967078685760498,0.00020345052083333332
17,9.931040048599243,0.0022786458333333335
18,9.866397857666016,0.0028483072916666665
19,9.837258100509644,0.003092447916666667
20,9.820624589920044,0.0086669921875
21,9.727343797683716,0.009195963541666666
22,9.691720485687256,0.015096028645833332
23,9.663329601287842,0.020222981770833332
24,9.658504724502563,0.018636067708333332
25,9.553451776504517,0.024983723958333332
26,9.511645793914795,0.0299072265625
27,9.514209985733032,0.030069986979166664
28,9.494194507598877,0.0284423828125
29,9.36036205291748,0.034830729166666664
30,9.351838111877441,0.0323486328125
31,9.336502075195312,0.031575520833333336
32,9.307488203048706,0.028483072916666668
33,9.288048267364502,0.029703776041666668
34,9.21879768371582,0.033121744791666664
35,9.23756217956543,0.0330810546875
36,9.117309808731079,0.033854166666666664
37,9.100597620010376,0.033772786458333336
38,9.105629444122314,0.030232747395833336
39,9.094489574432373,0.032796223958333336
40,9.027282238006592,0.03515625
41,9.018280506134033,0.034423828125
42,8.936237096786499,0.03369140625
43,8.959446668624878,0.034912109375
44,8.961926698684692,0.0316162109375
45,8.978826761245728,0.032145182291666664
46,8.922701120376587,0.030517578125
47,8.892415285110474,0.031005859375
48,8.845564603805542,0.03287760416666667
49,8.775710105895996,0.03247070312500001
50,8.865708112716675,0.031331380208333336
51,8.775564670562744,0.0345458984375
52,8.798145532608032,0.032877604166666664
53,8.725894212722778,0.035441080729166664
54,8.718599319458008,0.033203125
55,8.75363802909851,0.032023111979166664
56,8.630105257034302,0.035319010416666664
57,8.718424797058105,0.035074869791666664
58,8.682701349258423,0.03584798177083333
59,8.625600337982178,0.035441080729166664
60,8.613288164138794,0.036214192708333336
61,8.537233591079712,0.039998372395833336
62,8.582374572753906,0.036214192708333336
63,8.54705262184143,0.033894856770833336
64,8.565471887588501,0.0364990234375
65,8.518800497055054,0.036417643229166664
66,8.500491619110107,0.03767903645833333
67,8.504177570343018,0.03519694010416667
68,8.451767444610596,0.03833007812499999
69,8.521027565002441,0.035359700520833336
70,8.430257081985474,0.03837076822916667
71,8.454531908035278,0.0347900390625
72,8.421688795089722,0.036173502604166664
73,8.46600866317749,0.03413899739583333
74,8.436368227005005,0.03706868489583333
75,8.403264045715332,0.035441080729166664
76,8.395994663238525,0.03666178385416667
77,8.39650559425354,0.03690592447916667
78,8.399113178253174,0.0372314453125
79,8.324307441711426,0.03942871093749999
80,8.32923698425293,0.041666666666666664
81,8.381849527359009,0.0361328125
82,8.305942058563232,0.03719075520833333
83,8.290608406066895,0.0377197265625
84,8.25829291343689,0.03633626302083333
85,8.344007015228271,0.037109375
86,8.273749828338623,0.043497721354166664
87,8.29481840133667,0.03719075520833333
88,8.168077230453491,0.042724609375
89,8.232927799224854,0.039998372395833336
90,8.256162643432617,0.038330078125
91,8.114652156829834,0.042805989583333336
92,8.208117961883545,0.0406494140625
93,8.21038556098938,0.04052734374999999
94,8.150705337524414,0.044270833333333336
95,8.137047052383423,0.048868815104166664
96,8.147711515426636,0.045166015625
97,8.147497177124023,0.044026692708333336
98,8.061167478561401,0.049235026041666664
99,8.159040927886963,0.0411376953125
100,8.059241890907288,0.045613606770833336
101,8.041000723838806,0.049601236979166664
102,8.004502058029175,0.04573567708333333
103,8.072882175445557,0.04870605468749999
104,8.044666767120361,0.048095703125
105,7.960080027580261,0.04931640625
106,7.927907943725586,0.0474853515625
107,8.039628148078918,0.04817708333333333
108,7.959972023963928,0.04663085937500001
109,7.896498441696167,0.0501708984375
110,7.881539344787598,0.050821940104166664
111,7.9278810024261475,0.047119140625
112,8.010868310928345,0.048787434895833336
113,7.921706199645996,0.05379231770833333
114,7.876675367355347,0.0504150390625
115,7.889420390129089,0.051188151041666664
116,7.833169341087341,0.05086263020833333
117,7.823247790336609,0.04988606770833333
118,7.76688551902771,0.048624674479166664
119,7.823516249656677,0.0467529296875
120,7.787541031837463,0.05139160156250001
121,7.80621874332428,0.054280598958333336
122,7.758254289627075,0.0526123046875
123,7.8309242725372314,0.052327473958333336
124,7.809782147407532,0.0511474609375
125,7.708521604537964,0.054402669270833336
126,7.794199347496033,0.048014322916666664
127,7.786429405212402,0.05126953125000001
128,7.710771083831787,0.050374348958333336
129,7.756266713142395,0.050496419270833336
130,7.770419478416443,0.05305989583333333
131,7.725721478462219,0.05289713541666667
132,7.722474932670593,0.05342610677083333
133,7.737227916717529,0.05106608072916667
134,7.682951927185059,0.0572509765625
135,7.621556043624878,0.057373046875
136,7.654408812522888,0.052937825520833336
137,7.596558213233948,0.057291666666666664
138,7.680455803871155,0.049560546875
139,7.6687331199646,0.052490234375
140,7.582819223403931,0.05183919270833333
141,7.628077745437622,0.0582275390625
142,7.563705801963806,0.054484049479166664
143,7.541975140571594,0.057698567708333336
144,7.546528339385986,0.06046549479166666
145,7.584804534912109,0.0572509765625
146,7.604075074195862,0.054443359375
147,7.607143402099609,0.057902018229166664
148,7.460549473762512,0.06213378906249999
149,7.535674452781677,0.06412760416666667
150,7.609727382659912,0.0595703125
151,7.595306038856506,0.056640625
152,7.58465576171875,0.06400553385416666
153,7.541011691093445,0.06526692708333333
154,7.536994934082031,0.06221516927083333
155,7.568950057029724,0.0640869140625
156,7.48136293888092,0.06498209635416667
157,7.554592251777649,0.058024088541666664
158,7.446443796157837,0.06579589843749999
159,7.475825309753418,0.06416829427083333
160,7.49978506565094,0.0611572265625
161,7.509651303291321,0.05777994791666667
162,7.530808091163635,0.0643310546875
163,7.532461166381836,0.06380208333333334
164,7.495718955993652,0.06892903645833333
165,7.469258904457092,0.06229654947916667
166,7.4430201053619385,0.06266276041666666
167,7.47559666633606,0.06783040364583334
168,7.475916385650635,0.0626220703125
169,7.440345525741577,0.06266276041666666
170,7.476396203041077,0.061767578125
171,7.476200222969055,0.06180826822916666
172,7.434126496315002,0.06892903645833334
173,7.445712327957153,0.07137044270833333
174,7.440129995346069,0.06551106770833334
175,7.344216465950012,0.0723876953125
176,7.428707242012024,0.06815592447916667
177,7.395766496658325,0.06787109375
178,7.3755409717559814,0.07230631510416667
179,7.42508864402771,0.06852213541666667
180,7.40809428691864,0.06758626302083333
181,7.370299577713013,0.06648763020833334
